,selected,ratings,imdb_id,explanations,selected_idx
0,tt3896198,"['7', '6', '8', '9', '7', '9', '8', '5', '9', '4', '6', '3']","['tt3778644', 'tt2231461', 'tt3896198', 'tt1825683', 'tt2660888', 'tt1631867', 'tt1446714', 'tt1620680', 'tt3498820', 'tt1815862', 'tt1397514', 'tt4464394']"," 2"" with the imdbID tt3896198. I choose this movie because it has a rating of 8, which is one of the highest ratings among the movies I have viewed. Additionally, I am a fan of the Marvel Cinematic Universe and enjoyed the first Guardians of the Galaxy movie, so I am excited to continue the story with this sequel.",2
1,tt1677561,"['7.5', '8.2', '6.9', '7.8', '9.1', '5.4', '7.2', '8.5', '7.9']","['tt4073952', 'tt2404425', 'tt1978532', 'tt2962876', 'tt1677561', 'tt1349482', 'tt2429074', 'tt1837709', 'tt1234721']"," I choose this movie because it has a high rating and the plot seems intriguing and thought-provoking. The concept of a soul getting a second chance and uncovering the mysteries of its previous life and the reasons behind someone's suicide is captivating. I am interested in exploring the themes of redemption, self-discovery, and the complexities of life portrayed in this film.",4
2,tt2209418,"['6.5', '7.8', '5.2', '8.2', '7.6', '6.9', '7.4', '9.1', '6.7', '8.3']","['tt2034031', 'tt1714915', 'tt5368354', 'tt2756032', 'tt1937118', 'tt2073520', 'tt2091935', 'tt2209418', 'tt2870808', 'tt4513674']", I choose this movie because it has a high rating of 9.1 and the plot description intrigues me. The idea of revisiting a couple's relationship after several years and seeing how their decisions and experiences have shaped their lives is compelling. I am interested in exploring the complexities of their relationship and how they navigate the challenges they face.,7
3,tt2278388,"['4.5', '8.5', '6.5', '9.0', '7.0', '9.5', '7.0', '9.0', '8.0']","['tt0089538', 'tt1631867', 'tt1349482', 'tt4299972', 'tt1978532', 'tt0114709', 'tt2429074', 'tt2278388', 'tt1234721']","0, which is the highest among the movies I have viewed. Additionally, the plot description of the movie intrigues me with its promise of adventure, friendship, and a backdrop of a changing continent.",7
4,tt1430607,"['7.5', '6.5', '5.0', '4.0', '8.0', '2.0', '6.0', '7.0', '8.5', '9.0']","['tt2546038', 'tt1397514', 'tt2828996', 'tt1935929', 'tt1798603', 'tt4009460', 'tt4126340', 'tt4877122', 'tt1243974', 'tt1430607']"," I choose this movie because it has a high rating of 9.0 and the plot seems interesting and heartwarming. The idea of exploring the behind-the-scenes operation of Santa Claus and the focus on family dynamics and an unlikely hero appeals to me. I am also intrigued by the concept of a urgent mission that must be completed before Christmas morning. Overall, ""Arthur Christmas"" seems like a delightful and entertaining choice.",9
5,tt1837709,"['4.5', '6.5', '7.2', '8.0', '9.2', '8.8']","['tt0089538', 'tt1349482', 'tt1978532', 'tt2429074', 'tt1234721', 'tt1837709']"," I choose this movie because the plot description intrigues me with its blend of romance, fantasy, and mystery. The idea of a love story set in a magical version of New York City, with elements of fate and destiny, captures my interest. Additionally, the presence of Colin Farrell and Jessica Brown Findlay in the lead roles adds to my curiosity about their performances.",5
6,tt3922818,"['5', '4', '7', '6', '8', '9', '3', '7', '8', '9']","['tt2379386', 'tt2404233', 'tt3922818', 'tt3416828', 'tt1397514', 'tt5607028', 'tt1815862', 'tt2381991', 'tt0401729', 'tt1192628']"," The idea of a boy born on Mars and his journey to Earth to discover his origins and find his father sounds captivating. Additionally, the concept of exploring the wonders of Earth through the eyes of someone who has only known life on Mars adds an interesting perspective.",2
7,tt1837709,"['4.5', '6.5', '7.2', '8.0', '9.2', '8.8']","['tt0089538', 'tt1349482', 'tt1978532', 'tt2429074', 'tt1234721', 'tt1837709']", I choose this movie because it has a high rating and the plot seems intriguing. The combination of a love story and elements of fantasy in a wintry New York City setting piques my interest.,5
8,tt2883512,"['2', '8', '3', '1', '4', '6', '7', '9', '5', '2', '10']","['tt4009460', 'tt1430607', 'tt1798603', 'tt1935929', 'tt4126340', 'tt4877122', 'tt2546038', 'tt1397514', 'tt1243974', 'tt2828996', 'tt2883512']"," I choose this movie because it received a rating of 10, which indicates that it is highly recommended. Additionally, the plot description suggests that it is a heartwarming and inspiring story about rediscovering passion and creating meaningful connections.",10
9,tt1349482,"['5', '7', '4', '8', '6']","['tt0089538', 'tt1631867', 'tt1349482', 'tt4299972', 'tt1978532']", I choose this movie because I enjoy watching cheerleading movies and the plot seems interesting with the main character facing off against a snobbish and competitive cheerleading captain.,2
